Column Name,Data Type,Non-Null Count,Unique Values,Sample Values,Description
1199Q US Equity,float64,732,212,"[50.9091, 50.0545, 49.5662]",Description not provided. Please update as needed.
1237Q US Equity,float64,732,132,"[15.0251, 15.1463, 15.5098]",Description not provided. Please update as needed.
1255173D US Equity,float64,5856,3098,"[12.4272, 12.7763, 13.3348]",Description not provided. Please update as needed.
1255177D US Equity,float64,2928,1246,"[15.8153, 15.7077, 16.138]",Description not provided. Please update as needed.
1255459D US Equity,float64,5689,2796,"[7.5, 7.6875, 7.5313]",Description not provided. Please update as needed.
126784Q US Equity,float64,3294,545,"[11.8601, 11.4973, 12.0833]",Description not provided. Please update as needed.
1270Q US Equity,float64,1098,146,"[10.4708, 10.3518, 10.8278]",Description not provided. Please update as needed.
1280712D US Equity,float64,6954,2735,"[5.4792, 5.2917, 5.4583]",Description not provided. Please update as needed.
1281683D US Equity,float64,6588,3314,"[2.7006, 2.6688, 2.6529]",Description not provided. Please update as needed.
1284849D US Equity,float64,8052,4588,"[4.9035, 4.7228, 4.8002]",Description not provided. Please update as needed.
1288453D US Equity,float64,8052,2905,"[0.1875, 0.1797, 0.1719]",Description not provided. Please update as needed.
1288652D US Equity,float64,4758,2449,"[11.9898, 11.9633, 12.0694]",Description not provided. Please update as needed.
1291Q US Equity,float64,732,131,"[16.445, 16.21, 16.3275]",Description not provided. Please update as needed.
1293405D US Equity,float64,4008,1616,"[7.875, 8.375, 8.2813]",Description not provided. Please update as needed.
1297Q US Equity,float64,1098,417,"[51.3368, 51.2875, 51.7806]",Description not provided. Please update as needed.
1312089D US Equity,float64,4758,2284,"[20.8585, 20.6719, 19.8319]",Description not provided. Please update as needed.
1317355D US Equity,float64,5490,2797,"[4.8702, 4.7226, 4.6407]",Description not provided. Please update as needed.
1327Q US Equity,float64,1098,371,"[32.2523, 32.3658, 33.1608]",Description not provided. Please update as needed.
134618Q US Equity,float64,2196,1048,"[122.5868, 120.7259, 123.5172]",Description not provided. Please update as needed.
1356Q US Equity,float64,1098,379,"[14.8142, 14.7235, 14.9351]",Description not provided. Please update as needed.
1377Q US Equity,float64,732,212,"[39.371, 39.2498, 39.3104]",Description not provided. Please update as needed.
140402Q US Equity,float64,2562,1177,"[30.485, 29.762, 30.244]",Description not provided. Please update as needed.
1423Q US Equity,float64,1098,455,"[52.3887, 52.8369, 53.7707]",Description not provided. Please update as needed.
1431816D US Equity,float64,7686,1914,"[4.0311, 4.1552, 4.3102]",Description not provided. Please update as needed.
1436513D US Equity,float64,8784,5013,"[3.0147, 2.9691, 3.0278]",Description not provided. Please update as needed.
1448062D US Equity,float64,8052,3445,"[5.7869, 5.7028, 5.7238]",Description not provided. Please update as needed.
1455Q US Equity,float64,1098,139,"[24.375, 24.25, 25.0]",Description not provided. Please update as needed.
1456Q US Equity,float64,732,53,"[9.367, 9.4919, 9.8666]",Description not provided. Please update as needed.
1463Q US Equity,float64,1464,481,"[22.1405, 22.3752, 22.61]",Description not provided. Please update as needed.
1500785D US Equity,float64,8418,3878,"[7.9841, 7.9066, 7.8678]",Description not provided. Please update as needed.
1511Q US Equity,float64,1464,455,"[48.2035, 47.197, 46.5259]",Description not provided. Please update as needed.
1513Q US Equity,float64,1464,433,"[32.8622, 33.0928, 32.7469]",Description not provided. Please update as needed.
1518855D US Equity,float64,7837,3364,"[13.0, 33.0, 32.25]",Description not provided. Please update as needed.
1519128D US Equity,float64,8052,2001,"[2.9015, 2.7741, 2.7882]",Description not provided. Please update as needed.
1520415D US Equity,float64,5490,2744,"[1.7164, 1.7428, 1.7956]",Description not provided. Please update as needed.
1524867D US Equity,float64,6222,2820,"[2.8078, 2.7484, 2.7336]",Description not provided. Please update as needed.
1528159D US Equity,float64,3994,1916,"[26.154, 27.2911, 26.5675]",Description not provided. Please update as needed.
1530Q US Equity,float64,1098,373,"[16.5743, 16.3315, 16.2101]",Description not provided. Please update as needed.
1539547D US Equity,float64,366,9,"[22.125, 21.875, 22.25]",Description not provided. Please update as needed.
1539941D US Equity,float64,3938,2293,"[18.0613, 18.2548, 18.1903]",Description not provided. Please update as needed.
1541931D US Equity,float64,8418,4019,"[1.5014, 1.445, 1.5085]",Description not provided. Please update as needed.
1558530D US Equity,float64,1830,424,"[16.9384, 16.7032, 17.2913]",Description not provided. Please update as needed.
1566019D US Equity,float64,1468,851,"[35.5756, 34.6244, 35.128]",Description not provided. Please update as needed.
1567Q US Equity,float64,2196,398,"[8.1545, 8.0363, 7.7999]",Description not provided. Please update as needed.
1581Q US Equity,float64,1464,503,"[26.4345, 26.0393, 26.3159]",Description not provided. Please update as needed.
1618Q US Equity,float64,1464,471,"[39.4586, 38.7704, 38.3115]",Description not provided. Please update as needed.
162007Q US Equity,float64,2196,754,"[28.9651, 28.8528, 28.516]",Description not provided. Please update as needed.
1621582D US Equity,float64,2562,1221,"[39.9635, 39.6412, 39.5338]",Description not provided. Please update as needed.
1624Q US Equity,float64,732,242,"[32.875, 34.0, 35.75]",Description not provided. Please update as needed.
1627457D US Equity,float64,8418,3828,"[16.6339, 16.456, 16.367]",Description not provided. Please update as needed.
1649858D US Equity,float64,5856,3081,"[20.7086, 20.4276, 20.0263]",Description not provided. Please update as needed.
1654539D US Equity,float64,1234,752,"[39.1961, 37.713, 37.2893]",Description not provided. Please update as needed.
1671Q US Equity,float64,366,125,"[55.5653, 54.6951, 56.5597]",Description not provided. Please update as needed.
1680Q US Equity,float64,1464,559,"[48.6594, 47.9709, 48.4299]",Description not provided. Please update as needed.
1719Q US Equity,float64,732,89,"[24.11, 24.2276, 24.5804]",Description not provided. Please update as needed.
1802Q US Equity,float64,1830,88,"[9.75, 9.625, 9.875]",Description not provided. Please update as needed.
183291Q US Equity,float64,2562,287,"[8.625, 8.25, 9.0]",Description not provided. Please update as needed.
1856Q US Equity,float64,732,178,"[50.3228, 49.5074, 50.2063]",Description not provided. Please update as needed.
1953Q US Equity,float64,732,76,"[17.4657, 17.3461, 17.1068]",Description not provided. Please update as needed.
1958Q US Equity,float64,1464,439,"[27.2564, 27.1467, 27.4209]",Description not provided. Please update as needed.
1974Q US Equity,float64,1830,104,"[4.75, 4.625, 5.0]",Description not provided. Please update as needed.
2009Q US Equity,float64,724,265,"[51.4072, 51.16, 51.6543]",Description not provided. Please update as needed.
202550Q US Equity,float64,1182,169,"[14.518, 14.8902, 14.7661]",Description not provided. Please update as needed.
2036Q US Equity,float64,1464,665,"[38.9831, 38.3925, 39.8691]",Description not provided. Please update as needed.
204923Q US Equity,float64,1830,639,"[44.83, 45.0216, 45.4047]",Description not provided. Please update as needed.
2106Q US Equity,float64,1830,423,"[14.4591, 14.5721, 14.6851]",Description not provided. Please update as needed.
210811Q US Equity,float64,1464,372,"[5.3756, 5.3029, 5.1576]",Description not provided. Please update as needed.
210967Q US Equity,float64,1830,533,"[37.4327, 37.6846, 38.4907]",Description not provided. Please update as needed.
2168Q US Equity,float64,1464,535,"[22.7965, 22.9066, 23.1268]",Description not provided. Please update as needed.
2196Q US Equity,float64,2196,912,"[20.1558, 20.7006, 21.0819]",Description not provided. Please update as needed.
2200Q US Equity,float64,2196,903,"[30.241, 30.8137, 32.4174]",Description not provided. Please update as needed.
2206Q US Equity,float64,2196,418,"[32.1124, 31.0503, 31.3003]",Description not provided. Please update as needed.
2218Q US Equity,float64,1830,767,"[33.7337, 33.5751, 33.5222]",Description not provided. Please update as needed.
2223Q US Equity,float64,2196,1104,"[103.7331, 103.066, 106.4015]",Description not provided. Please update as needed.
222435Q US Equity,float64,2272,924,"[18.4511, 18.3298, 18.087]",Description not provided. Please update as needed.
2245Q US Equity,float64,732,131,"[18.2209, 17.6136, 17.8565]",Description not provided. Please update as needed.
2251Q US Equity,float64,2196,858,"[17.5922, 17.8517, 18.1225]",Description not provided. Please update as needed.
2254Q US Equity,float64,732,101,"[25.3376, 25.5813, 26.434]",Description not provided. Please update as needed.
2269312Q US Equity,float64,2928,878,"[19.929, 20.0208, 20.2963]",Description not provided. Please update as needed.
2282655Q US Equity,float64,1830,631,"[24.8423, 24.7314, 25.175]",Description not provided. Please update as needed.
2284Q US Equity,float64,2196,936,"[8.3178, 8.2651, 8.502]",Description not provided. Please update as needed.
228510Q US Equity,float64,3294,1504,"[16.9964, 16.8902, 16.9433]",Description not provided. Please update as needed.
2288005Q US Equity,float64,2562,908,"[10.0328, 9.7288, 9.6528]",Description not provided. Please update as needed.
2292198Q US Equity,float64,366,1,[21.375],Description not provided. Please update as needed.
2307532Q US Equity,float64,5124,1776,"[9.7942, 9.4716, 9.6769]",Description not provided. Please update as needed.
231079Q US Equity,float64,2562,955,"[26.7975, 26.2455, 26.0448]",Description not provided. Please update as needed.
231330Q US Equity,float64,1505,393,"[16.5836, 16.2646, 16.3709]",Description not provided. Please update as needed.
2340361Q US Equity,float64,366,45,"[33.4422, 33.8124, 33.689]",Description not provided. Please update as needed.
236555Q US Equity,float64,2928,1164,"[17.935, 17.8353, 17.7357]",Description not provided. Please update as needed.
2428Q US Equity,float64,2196,791,"[27.7689, 27.98, 27.8744]",Description not provided. Please update as needed.
244630Q US Equity,float64,2196,991,"[2.1438, 2.1515, 2.1899]",Description not provided. Please update as needed.
2500Q US Equity,float64,2196,808,"[23.0181, 23.1736, 23.07]",Description not provided. Please update as needed.
253647Q US Equity,float64,2928,1299,"[19.8104, 19.6314, 20.1684]",Description not provided. Please update as needed.
2576Q US Equity,float64,1098,162,"[9.7357, 9.8728, 9.8042]",Description not provided. Please update as needed.
2603Q US Equity,float64,366,19,"[36.875, 35.5, 36.0]",Description not provided. Please update as needed.
263179Q US Equity,float64,1830,644,"[24.0915, 23.7249, 23.9867]",Description not provided. Please update as needed.
2638Q US Equity,float64,1830,655,"[19.7285, 19.8381, 20.0573]",Description not provided. Please update as needed.
2641504Q US Equity,float64,5490,1554,"[2.6406, 2.6563, 2.7109]",Description not provided. Please update as needed.
2650Q US Equity,float64,732,205,"[45.4039, 44.926, 44.8065]",Description not provided. Please update as needed.
2676187Q US Equity,float64,4392,1932,"[4.679, 4.6484, 4.8013]",Description not provided. Please update as needed.
2691Q US Equity,float64,2196,756,"[10.0693, 9.8714, 9.9845]",Description not provided. Please update as needed.
2727195Q US Equity,float64,3660,1902,"[10.2297, 10.2628, 10.2463]",Description not provided. Please update as needed.
2731112Q US Equity,float64,2562,1263,"[19.3224, 19.2133, 19.5408]",Description not provided. Please update as needed.
2745Q US Equity,float64,2109,455,"[25.5, 25.625, 26.25]",Description not provided. Please update as needed.
2746Q US Equity,float64,1464,270,"[22.7548, 22.5238, 22.9858]",Description not provided. Please update as needed.
2755Q US Equity,float64,2562,1044,"[31.1933, 31.3039, 31.4145]",Description not provided. Please update as needed.
2770014Q US Equity,float64,2562,379,"[17.1583, 17.6908, 18.3417]",Description not provided. Please update as needed.
2784Q US Equity,float64,2562,956,"[7.3173, 7.1579, 7.1144]",Description not provided. Please update as needed.
279776Q US Equity,float64,1098,334,"[42.2112, 43.7146, 44.4085]",Description not provided. Please update as needed.
2822069Q US Equity,float64,1830,645,"[47.4995, 47.6168, 47.8513]",Description not provided. Please update as needed.
285939Q US Equity,float64,1775,760,"[31.791, 30.5597, 30.2239]",Description not provided. Please update as needed.
291784Q US Equity,float64,2928,1094,"[23.2937, 22.8521, 23.1984]",Description not provided. Please update as needed.
2942331Q US Equity,float64,5490,2924,"[14.1769, 13.8038, 14.3261]",Description not provided. Please update as needed.
2953349Q US Equity,float64,1798,711,"[20.8419, 21.5524, 21.9077]",Description not provided. Please update as needed.
2964Q US Equity,float64,1830,826,"[11.4711, 11.2614, 11.461]",Description not provided. Please update as needed.
2968900Q US Equity,float64,5490,2770,"[3.0826, 3.0936, 3.1046]",Description not provided. Please update as needed.
2972Q US Equity,float64,2196,991,"[25.4479, 25.5012, 25.3412]",Description not provided. Please update as needed.
297504Q US Equity,float64,3660,1773,"[24.9782, 25.0771, 25.3244]",Description not provided. Please update as needed.
2987536Q US Equity,float64,5124,2249,"[1.4963, 1.48, 1.5613]",Description not provided. Please update as needed.
2987Q US Equity,float64,1098,137,"[23.25, 22.75, 22.625]",Description not provided. Please update as needed.
2999130Q US Equity,float64,4758,2185,"[14.4037, 14.3734, 14.4627]",Description not provided. Please update as needed.
300583Q US Equity,float64,2562,1258,"[43.2144, 43.2613, 42.7447]",Description not provided. Please update as needed.
301710Q US Equity,float64,2928,1095,"[12.2706, 12.1239, 12.5639]",Description not provided. Please update as needed.
3022239Q US Equity,float64,5856,2685,"[5.7361, 5.6871, 5.8342]",Description not provided. Please update as needed.
3026360Q US Equity,float64,4758,2425,"[8.9391, 8.9087, 9.0304]",Description not provided. Please update as needed.
3029830Q US Equity,float64,4392,1538,"[2.0156, 1.9219, 1.8594]",Description not provided. Please update as needed.
304024Q US Equity,float64,3294,1321,"[27.4785, 27.7708, 28.0631]",Description not provided. Please update as needed.
3054Q US Equity,float64,2562,1027,"[17.6352, 17.56, 17.4348]",Description not provided. Please update as needed.
3075558Q US Equity,float64,2928,1128,"[15.2958, 15.683, 15.8121]",Description not provided. Please update as needed.
3080867Q US Equity,float64,4758,2265,"[12.3306, 12.2386, 12.0545]",Description not provided. Please update as needed.
3133754Q US Equity,float64,5124,2338,"[5.6271, 5.5601, 5.6495]",Description not provided. Please update as needed.
3147596Q US Equity,float64,1464,713,"[13.5217, 13.4017, 14.0218]",Description not provided. Please update as needed.
3147Q US Equity,float64,1001,236,"[50.875, 48.25, 48.125]",Description not provided. Please update as needed.
3153670Q US Equity,float64,4299,2046,"[0.642, 0.6337, 0.6255]",Description not provided. Please update as needed.
316419Q US Equity,float64,1464,388,"[23.0187, 22.3547, 22.7974]",Description not provided. Please update as needed.
3179Q US Equity,float64,867,345,"[28.0059, 28.7302, 29.0924]",Description not provided. Please update as needed.
3253Q US Equity,float64,2928,1357,"[49.9235, 49.7151, 49.0898]",Description not provided. Please update as needed.
3277Q US Equity,float64,2928,1415,"[58.4166, 58.3205, 59.6656]",Description not provided. Please update as needed.
3286728Q US Equity,float64,5856,3124,"[7.1749, 7.2292, 7.1477]",Description not provided. Please update as needed.
329556Q US Equity,float64,3660,1493,"[10.6832, 10.4768, 10.5284]",Description not provided. Please update as needed.
3301Q US Equity,float64,2562,342,"[10.6, 10.275, 10.675]",Description not provided. Please update as needed.
3346Q US Equity,float64,2928,1283,"[8.3948, 8.2929, 8.5648]",Description not provided. Please update as needed.
334702Q US Equity,float64,1464,324,"[20.6941, 20.2157, 20.5745]",Description not provided. Please update as needed.
3362726Q US Equity,float64,426,145,"[25.7, 25.01, 24.35]",Description not provided. Please update as needed.
3393199Q US Equity,float64,5856,2928,"[8.4326, 8.4547, 8.4987]",Description not provided. Please update as needed.
3403545Q US Equity,float64,5124,2620,"[3.2616, 3.1525, 3.201]",Description not provided. Please update as needed.
3414924Q US Equity,float64,2922,962,"[20.5, 19.6875, 19.4375]",Description not provided. Please update as needed.
3423152Q US Equity,float64,5856,2905,"[25.7329, 25.2244, 25.5295]",Description not provided. Please update as needed.
3459Q US Equity,float64,2196,787,"[20.5191, 20.6288, 20.1899]",Description not provided. Please update as needed.
3517233Q US Equity,float64,5856,2831,"[12.0039, 12.116, 12.06]",Description not provided. Please update as needed.
3520842Q US Equity,float64,5490,2403,"[22.6553, 22.4436, 23.0788]",Description not provided. Please update as needed.
3546Q US Equity,float64,2562,844,"[18.7149, 18.8696, 18.9727]",Description not provided. Please update as needed.
355488Q US Equity,float64,4026,1894,"[11.065, 10.9786, 11.2435]",Description not provided. Please update as needed.
3605818Q US Equity,float64,5124,2585,"[16.6982, 16.249, 16.0243]",Description not provided. Please update as needed.
3619382Q US Equity,float64,2196,684,"[12.5041, 12.3488, 12.4265]",Description not provided. Please update as needed.
3621240Q US Equity,float64,4026,2043,"[22.3242, 22.1255, 22.2243]",Description not provided. Please update as needed.
363096Q US Equity,float64,2562,823,"[21.6572, 21.0556, 20.5543]",Description not provided. Please update as needed.
3691661Q US Equity,float64,2928,593,"[63.0, 61.0, 61.625]",Description not provided. Please update as needed.
3692470Q US Equity,float64,5490,2721,"[16.9623, 16.5365, 16.6074]",Description not provided. Please update as needed.
370506Q US Equity,float64,2196,770,"[23.1867, 21.9599, 21.5918]",Description not provided. Please update as needed.
375573Q US Equity,float64,2562,766,"[29.6176, 29.723, 29.8284]",Description not provided. Please update as needed.
3891289Q US Equity,float64,2562,1118,"[31.68, 31.4266, 31.2745]",Description not provided. Please update as needed.
390297Q US Equity,float64,2562,926,"[18.2335, 18.466, 18.5125]",Description not provided. Please update as needed.
399463Q US Equity,float64,2196,1072,"[60.2498, 60.1561, 61.2805]",Description not provided. Please update as needed.
41018Q US Equity,float64,3294,1369,"[26.6805, 27.2626, 27.4566]",Description not provided. Please update as needed.
45200Q US Equity,float64,2562,723,"[20.742, 20.8197, 20.6644]",Description not provided. Please update as needed.
45861Q US Equity,float64,2196,661,"[16.9723, 16.8662, 17.0784]",Description not provided. Please update as needed.
4621824Q US Equity,float64,5124,2487,"[12.0626, 11.9477, 12.0977]",Description not provided. Please update as needed.
502466Q US Equity,float64,4392,1654,"[13.4883, 12.7845, 12.3154]",Description not provided. Please update as needed.
504369Q US Equity,float64,2196,673,"[28.6161, 28.3969, 28.5065]",Description not provided. Please update as needed.
519239Q US Equity,float64,4026,1347,"[1.1742, 1.1852, 1.1962]",Description not provided. Please update as needed.
54279Q US Equity,float64,732,141,"[26.6293, 26.1316, 27.2515]",Description not provided. Please update as needed.
544791Q US Equity,float64,3294,1499,"[19.8483, 19.9009, 19.743]",Description not provided. Please update as needed.
548227Q US Equity,float64,2196,531,"[16.8125, 16.375, 16.5]",Description not provided. Please update as needed.
571300Q US Equity,float64,2562,1049,"[27.6571, 27.9393, 27.7512]",Description not provided. Please update as needed.
605018Q US Equity,float64,4392,1937,"[6.0209, 6.043, 6.1094]",Description not provided. Please update as needed.
605555Q US Equity,float64,4392,2324,"[22.3146, 22.3658, 22.8264]",Description not provided. Please update as needed.
611647Q US Equity,float64,2196,868,"[28.612, 28.5577, 28.3945]",Description not provided. Please update as needed.
62553Q US Equity,float64,1426,470,"[7.0042, 7.0309, 7.2715]",Description not provided. Please update as needed.
653707Q US Equity,float64,4758,2329,"[32.1181, 31.728, 31.533]",Description not provided. Please update as needed.
667517Q US Equity,float64,2562,782,"[13.5612, 13.915, 13.6792]",Description not provided. Please update as needed.
677004Q US Equity,float64,3294,1449,"[24.1865, 24.14, 23.9543]",Description not provided. Please update as needed.
680884Q US Equity,float64,3294,1462,"[3.5742, 3.5334, 3.6884]",Description not provided. Please update as needed.
68335Q US Equity,float64,2928,1000,"[17.0992, 16.1623, 16.7869]",Description not provided. Please update as needed.
693365Q US Equity,float64,1464,412,"[25.8141, 25.5794, 25.3447]",Description not provided. Please update as needed.
69895Q US Equity,float64,2196,516,"[15.1667, 14.5, 15.25]",Description not provided. Please update as needed.
723588Q US Equity,float64,4392,2296,"[51.9806, 51.4072, 51.1206]",Description not provided. Please update as needed.
739306Q US Equity,float64,2928,1345,"[30.5368, 30.35, 30.817]",Description not provided. Please update as needed.
748957Q US Equity,float64,3660,1869,"[10.4726, 10.493, 10.4521]",Description not provided. Please update as needed.
764144Q US Equity,float64,4392,1348,"[4.875, 4.7031, 4.9688]",Description not provided. Please update as needed.
8206908Q US Equity,float64,5490,2486,"[6.66, 6.6951, 6.7134]",Description not provided. Please update as needed.
8214761Q US Equity,float64,5490,2691,"[13.9847, 14.1617, 13.8962]",Description not provided. Please update as needed.
827663Q US Equity,float64,1534,423,"[28.75, 28.125, 27.5]",Description not provided. Please update as needed.
8277831Q US Equity,float64,5837,2000,"[4.5313, 4.5625, 4.6875]",Description not provided. Please update as needed.
8375930Q US Equity,float64,3660,1561,"[24.5024, 24.3124, 24.1225]",Description not provided. Please update as needed.
8394653Q US Equity,float64,6383,3054,"[5.6968, 5.4491, 5.7463]",Description not provided. Please update as needed.
841273Q US Equity,float64,1948,804,"[1.875, 1.8438, 1.9063]",Description not provided. Please update as needed.
89236Q US Equity,float64,1400,617,"[28.4145, 29.0064, 29.1248]",Description not provided. Please update as needed.
896661Q US Equity,float64,2196,913,"[37.3178, 37.1099, 36.902]",Description not provided. Please update as needed.
90457Q US Equity,float64,1464,428,"[25.154, 24.7841, 24.7101]",Description not provided. Please update as needed.
929530Q US Equity,float64,4758,2472,"[21.4291, 21.2148, 21.6434]",Description not provided. Please update as needed.
93916Q US Equity,float64,2562,909,"[28.961, 29.013, 28.5451]",Description not provided. Please update as needed.
945852Q US Equity,float64,2129,985,"[7.0938, 7.0, 6.4063]",Description not provided. Please update as needed.
950967Q US Equity,float64,3294,1308,"[13.7882, 13.9349, 13.446]",Description not provided. Please update as needed.
968734Q US Equity,float64,2196,867,"[25.4863, 25.2628, 25.0392]",Description not provided. Please update as needed.
987200Q US Equity,float64,4758,2218,"[18.1937, 17.6554, 17.9246]",Description not provided. Please update as needed.
9876544D US Equity,float64,8052,4176,"[7.1862, 7.1128, 7.2106]",Description not provided. Please update as needed.
9876549D US Equity,float64,2069,929,"[21.6721, 23.5566, 23.9335]",Description not provided. Please update as needed.
9876566D US Equity,float64,8418,4919,"[13.4206, 13.3259, 13.3827]",Description not provided. Please update as needed.
A US Equity,float64,7197,4096,"[18.9054, 27.7279, 25.4435]",Description not provided. Please update as needed.
AA US Equity,float64,9459,5644,"[13.6285, 13.3718, 13.4652]",Description not provided. Please update as needed.
AAL US Equity,float64,2061,1371,"[23.5664, 23.8347, 24.898]",Description not provided. Please update as needed.
AALEA US Equity,float64,1464,332,"[23.5111, 23.631, 23.751]",Description not provided. Please update as needed.
AAMRQ US Equity,float64,7686,2789,"[14.4781, 14.2825, 14.2266]",Description not provided. Please update as needed.
AAP US Equity,float64,6454,4092,"[13.247, 13.613, 13.136]",Description not provided. Please update as needed.
AAPL US Equity,float64,9459,5320,"[0.8044, 0.8197, 0.7967]",Description not provided. Please update as needed.
ABBV US Equity,float64,2425,1606,"[28.2206, 28.4786, 26.8982]",Description not provided. Please update as needed.
ABC US Equity,float64,8885,4955,"[0.8227, 2.3372, 2.3757]",Description not provided. Please update as needed.
ABKFQ US Equity,float64,7320,3610,"[14.0722, 13.8557, 13.7835]",Description not provided. Please update as needed.
ABMD US Equity,float64,9459,3204,"[3.75, 4.375, 4.125]",Description not provided. Please update as needed.
ABT US Equity,float64,9459,5493,"[3.2659, 3.2037, 3.2193]",Description not provided. Please update as needed.
ABX US Equity,float64,9150,4854,"[16.9898, 17.0863, 17.1828]",Description not provided. Please update as needed.
ACAS US Equity,float64,7332,3390,"[5.2469, 5.2803, 5.18]",Description not provided. Please update as needed.
ACKH US Equity,float64,5490,1692,"[29.9955, 29.5102, 29.7043]",Description not provided. Please update as needed.
ACN US Equity,float64,6588,3878,"[11.203, 11.7207, 11.5971]",Description not provided. Please update as needed.
ADBE US Equity,float64,9459,5290,"[2.3712, 2.432, 2.3104]",Description not provided. Please update as needed.
ADCT US Equity,float64,6588,2137,"[16.5156, 16.0781, 16.1875]",Description not provided. Please update as needed.
ADI US Equity,float64,9459,5165,"[2.9608, 2.9025, 3.0046]",Description not provided. Please update as needed.
ADM US Equity,float64,9459,5012,"[6.8438, 6.8076, 6.7714]",Description not provided. Please update as needed.
ADNT US Equity,float64,1018,667,"[47.7268, 47.6108, 47.7171]",Description not provided. Please update as needed.
ADP US Equity,float64,9459,5597,"[6.1024, 6.0868, 6.0711]",Description not provided. Please update as needed.
ADS US Equity,float64,6629,3934,"[11.742, 13.699, 12.965]",Description not provided. Please update as needed.
ADSK US Equity,float64,9459,5074,"[5.3525, 5.2949, 5.3093]",Description not provided. Please update as needed.
AEE US Equity,float64,7881,4734,"[14.431, 14.3257, 14.115]",Description not provided. Please update as needed.
AEP US Equity,float64,9459,5292,"[10.9776, 11.0839, 11.2963]",Description not provided. Please update as needed.
AES US Equity,float64,9459,3733,"[4.3293, 4.2294, 4.1295]",Description not provided. Please update as needed.
AET US Equity,float64,6805,4145,"[7.675, 7.745, 7.422]",Description not provided. Please update as needed.
AFL US Equity,float64,9459,5503,"[1.7923, 1.7648, 1.7511]",Description not provided. Please update as needed.
AFS US Equity,float64,1954,894,"[16.8012, 16.6199, 16.6803]",Description not provided. Please update as needed.
AGN US Equity,float64,9459,4284,"[13.705, 13.341, 14.312]",Description not provided. Please update as needed.
AIG US Equity,float64,9459,5768,"[217.3561, 216.7994, 219.5825]",Description not provided. Please update as needed.
AIV US Equity,float64,9141,5009,"[3.297, 3.3193, 3.2524]",Description not provided. Please update as needed.
AIZ US Equity,float64,5657,3645,"[17.1798, 19.2883, 19.4054]",Description not provided. Please update as needed.
AJG US Equity,float64,9459,5205,"[3.2984, 3.3381, 3.3911]",Description not provided. Please update as needed.
AKAM US Equity,float64,7217,3668,"[26.0, 145.1875, 174.3125]",Description not provided. Please update as needed.
